City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
71,Aripuana,BR,-9.1667,-60.6333,101.52,17,40,2.04,scattered clouds,0,0
72,Sobolevo,RU,54.4299,31.8996,60.4,71,31,5.99,scattered clouds,0,0
73,Ilulissat,GL,69.2167,-51.1,53.62,66,75,13.8,light rain,0.33,0
74,Guerrero Negro,MX,27.9769,-114.0611,84.79,60,6,11.32,clear sky,0,0
75,Honningsvag,NO,70.9821,25.9704,51.55,82,75,13.8,broken clouds,0,0
76,Port Elizabeth,ZA,-33.918,25.5701,48.09,63,99,8.99,overcast clouds,0,0
77,Halifax,CA,44.6453,-63.5724,86.52,70,25,3,scattered clouds,0,0
78,Leningradskiy,RU,69.3833,178.4167,41.18,94,100,1.92,overcast clouds,0,0
79,Kavieng,PG,-2.5744,150.7967,81.1,78,92,10.87,overcast clouds,0,0
80,Kisaran,ID,2.9845,99.6158,74.19,96,100,0.69,overcast clouds,0,0
81,Kirovskiy,RU,45.0917,133.5136,57.27,70,77,3.33,broken clouds,0,0
82,Ishinomaki,JP,38.4167,141.3,70.36,96,100,8.25,overcast clouds,0,0
83,Tautira,PF,-17.7333,-149.15,80.62,68,100,21.72,overcast clouds,0,0
84,Muscat,OM,23.6139,58.5922,87.82,74,100,7.31,overcast clouds,0,0
85,Mount Gambier,AU,-37.8333,140.7667,46.31,100,90,8.05,overcast clouds,0,0
86,Aklavik,CA,68.2191,-135.0107,46.4,81,75,4.61,light rain,0.33,0
87,Codrington,AU,-38.2667,141.9667,48.58,90,77,9.13,broken clouds,0,0
88,Oranjemund,NA,-28.55,16.4333,55.99,64,0,16.69,clear sky,0,0
89,Takoradi,GH,4.8845,-1.7554,76.78,76,100,10.04,overcast clouds,0,0
90,Blind River,CA,46.1834,-82.9582,71.85,45,0,10.22,clear sky,0,0
91,Thompson,CA,55.7435,-97.8558,62.91,46,100,11.21,overcast clouds,0,0
92,Comrat,MD,46.3003,28.6572,68.58,52,29,4.43,scattered clouds,0,0
93,Saint-Pierre,RE,-21.3393,55.4781,71.24,76,0,6.91,clear sky,0,0
94,Khandyga,RU,62.6667,135.6,54.45,80,9,1.59,clear sky,0,0
95,Airai,TL,-8.9266,125.4092,56.23,52,5,3.65,clear sky,0,0
96,Saskylakh,RU,71.9167,114.0833,48.34,73,100,7.25,overcast clouds,0,0
97,Sao Mateus,BR,-18.7161,-39.8589,76.69,59,16,7.76,few clouds,0,0
98,Labuhan,ID,-6.8844,112.2051,76.03,88,8,8.34,clear sky,0,0
99,Novopokrovka,UA,49.8425,36.5477,68.38,46,100,7.52,overcast clouds,0,0
100,Henties Bay,NA,-22.116,14.2845,55.09,84,4,8.61,clear sky,0,0
101,Piacabucu,BR,-10.4056,-36.4344,76.75,71,14,9.95,few clouds,0,0
102,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,73,15,9.22,few clouds,0,0
103,Grindavik,IS,63.8424,-22.4338,57.56,82,40,11.5,scattered clouds,0,0
104,Aguas Verdes,PE,-3.4814,-80.245,75.76,71,100,10,overcast clouds,0,0
105,Salalah,OM,17.0151,54.0924,77.09,94,90,5.75,light intensity drizzle,0,0
106,Tasiilaq,GL,65.6145,-37.6368,50.16,63,72,7.96,broken clouds,0,0
107,Shingu,JP,33.7333,135.9833,79.92,93,100,13.15,moderate rain,1.78,0
108,Mao,ES,39.8885,4.2658,81.16,78,0,5.75,clear sky,0,0
109,Tenenkou,ML,14.4572,-4.9169,88.86,50,67,8.9,broken clouds,0,0
110,Avarua,CK,-21.2078,-159.775,68.05,94,75,3.44,broken clouds,0,0
111,Marystown,CA,47.1666,-55.1483,64.04,97,100,10.29,overcast clouds,0,0
112,Northam,GB,51.0333,-4.2167,66.34,91,15,13.76,few clouds,0,0
113,Eyl,SO,7.9803,49.8164,76.6,83,56,21.32,broken clouds,0,0
114,Rio Grande,BR,-32.035,-52.0986,62.71,74,100,11.12,overcast clouds,0,0
115,Sao Bras De Alportel,PT,37.1531,-7.8875,81.28,54,0,6.91,clear sky,0,0
116,Naze,JP,28.3667,129.4833,78.06,87,80,18.37,broken clouds,0,0
117,Butaritari,KI,3.0707,172.7902,81.97,76,95,10.45,light rain,0.25,0
118,Cap Malheureux,MU,-19.9842,57.6142,68.47,84,9,3,clear sky,0,0
119,Coihaique,CL,-45.5752,-72.0662,51.75,46,0,11.5,clear sky,0,0
120,Namibe,AO,-15.1961,12.1522,62.55,87,32,5.44,scattered clouds,0,0
121,Atbasar,KZ,51.8,68.3333,55.35,61,91,8.05,overcast clouds,0,0
122,Kaitangata,NZ,-46.2817,169.8464,42.66,93,100,16.22,light rain,0.52,0
123,Atar,MR,20.5169,-13.0499,108.19,8,46,18.63,scattered clouds,0,0
124,Hilo,US,19.7297,-155.09,78.12,83,90,10.36,light rain,0.25,0
125,Linxia,CN,35.6003,103.2064,62.01,54,64,5.21,broken clouds,0,0
126,Akdepe,TM,42.0551,59.3788,73.49,46,0,15.1,clear sky,0,0
127,Kahului,US,20.8947,-156.47,74.97,94,20,12.15,few clouds,0,0
128,Horodyshche,UA,49.2849,31.4451,65.98,51,0,7.56,clear sky,0,0
129,Lusambo,CD,-4.9667,23.45,70.74,93,83,6.08,moderate rain,1.27,0
