City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Tual,ID,80.24,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
202,Yumen,CN,75.61,overcast clouds,40.2833,97.2,
206,Najran,SA,89.2,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
209,Tutoia,BR,85.98,broken clouds,-2.7619,-42.2744,Pousada Guará's
213,Lubliniec,PL,75.45,overcast clouds,50.669,18.6844,Hotel Zamek Lubliniec
215,San Quintin,MX,79.84,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
216,Yangjiang,CN,80.42,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
217,Don Sak,TH,80.67,overcast clouds,9.3168,99.6918,Sea Sun Moon Hostel
222,Savannah Bight,HN,87.85,clear sky,16.45,-85.85,Villa on Dunbar Rock
223,Tabou,CI,76.1,overcast clouds,4.423,-7.3528,hotêl doufoulougou
226,Jinxiang,CN,80.26,overcast clouds,27.4327,120.6062,Wolong Village
227,Djambala,CG,79.59,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
228,Praxedis Guerrero,MX,78.26,light rain,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
229,Padang,ID,77.49,overcast clouds,-0.9492,100.3543,Mercure Padang
230,Bengkulu,ID,75.24,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
231,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
238,Mazagao,BR,84.25,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
241,Ewa Beach,US,84.15,few clouds,21.3156,-158.0072,Uncle Junior Robert
247,Miri,MY,77.02,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
248,Lahan,NP,80.28,moderate rain,26.7296,86.4951,Hotel Durbar Pvt. Ltd.
249,Faanui,PF,78.82,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
250,Tambopata,PE,80.49,clear sky,-12.7333,-69.1833,
255,Tete,MZ,82.49,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
257,Da Nang,VN,84.25,scattered clouds,16.0678,108.2208,Sun River Hotel
265,Kismayo,SO,76.23,clear sky,-0.3582,42.5454,Agan-Hotel
266,Buala,SB,77.9,light rain,-8.145,159.5921,Maringe Lagoon Lodge
267,Zhuhai,CN,85.05,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
272,Moyale,KE,77.36,overcast clouds,3.5167,39.0584,La Tahzan Guest House
273,Shelburne,CA,82.67,broken clouds,44.0787,-80.2041,The Retreat at the Farm
274,Bubaque,GW,79.54,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
276,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
278,Bachaquero,VE,88.48,clear sky,9.9694,-71.1494,casa de los dinosaurios
281,Booue,GA,78.3,broken clouds,-0.0921,11.9385,Splendeur de l'équateur
282,Shimoda,JP,78.91,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
283,Punta Cardon,VE,87.46,clear sky,11.6581,-70.215,Bambuda hotel
286,Teacapan,MX,87.04,overcast clouds,22.55,-105.75,Hotel los Mangos
292,Koroni,GR,87.08,clear sky,36.8,21.95,Apartments Xenios Zeus 1
293,Half Moon Bay,US,87.82,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
295,Kalaleh,IR,86.38,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
